Client,Best_Model,Best_wMAPE,Cluster,client_mean,client_std
MT_102,SARIMA,0.07232637845104771,0,875.2182278983367,424.4037079114605
MT_101,SARIMA,0.07281442808202342,0,706.368881816031,458.952360734607
MT_312,SARIMA,0.07347070409254565,0,385.6941554162013,151.0146423149806
MT_361,SARIMA,0.07397677100147287,0,292.3439760077536,185.10063873043228
MT_018,SARIMA,0.07489872685366855,0,243.66299723384356,82.8874911683374
MT_295,SARIMA,0.0751140980509928,0,268.42002428365726,77.8080391208493
MT_274,SARIMA,0.07810993488677472,0,330.1154049989021,85.83879141933089
MT_298,SARIMA,0.081216543395074,0,971.0620705969953,265.7069299534168
MT_310,SARIMA,0.0814001293237972,0,606.6128922932061,177.1751535768048
MT_355,SARIMA,0.08146483635189156,0,663.8455120402393,389.5991516372976
MT_049,SARIMA,0.08444949763733073,0,927.0063688687593,267.4398352165208
MT_343,SARIMA,0.09135956707183117,0,153.31562766929267,127.81102789008463
MT_331,SARIMA,0.09489710561888605,0,224.2527612310747,79.41264622491774
MT_367,Prophet,0.09747870533245469,0,565.8081506395793,136.74988998077586
MT_324,Prophet,0.09962045198756385,0,338.04593969841017,95.13206431235824
MT_124,Prophet,0.10823313540745245,0,280.6910900754221,124.56029915467451
MT_043,SARIMA,0.10889251861439732,0,1079.949581448171,336.280797273955
MT_139,SARIMA,0.1252824929977143,0,398.4924461163745,129.96283477417325
MT_128,Prophet,0.14484573447412674,0,300.7845443466758,156.40262228697048
MT_342,SARIMA,0.148069964517383,0,274.30646949648013,159.52075731585882
MT_346,Prophet,0.1495578425605097,0,288.8678923833528,131.04496642158608
MT_084,Prophet,0.1604545165256015,0,216.42091349403304,90.21753976616462
MT_162,Prophet,0.16736589671469082,0,288.1369565217392,141.1736406082704
MT_344,SARIMA,0.16840909031817833,0,174.31435026496186,118.71504743417566
MT_114,Prophet,0.16889278565871638,0,306.86363860781705,115.10414627504784
MT_349,LSTM,0.19521071908673684,0,193.42562431814338,120.36658327051279
MT_097,Prophet,0.2652864174690529,0,186.8709686977753,109.29170890746315
MT_141,SARIMA,0.011079050089416287,1,8.680653674977172,4.633614775825149
MT_145,Prophet,0.014063996806194077,1,77.86762622258821,5.725600867969639
MT_188,SARIMA,0.026924696450537786,1,35.05504511190192,10.837114850676958
MT_082,SARIMA,0.029197403445750128,1,44.521568802452094,10.935922327814001
MT_150,SARIMA,0.031477189850499576,1,27.68105769721644,4.221981200815071
MT_154,SARIMA,0.03467152459777868,1,33.47112880298369,5.088836085528634
MT_017,SARIMA,0.04008902689463301,1,49.04011939022621,12.89574723507648
MT_146,SARIMA,0.04052064389404123,1,83.8514921900184,7.91501664249118
MT_002,Prophet,0.040867403336597004,1,27.953477354041528,6.338388002197547
MT_117,SARIMA,0.04782597364586536,1,17.350856584191373,7.389593770273222
MT_073,SARIMA,0.0495857871765771,1,47.030002628099844,21.944322692864148
MT_056,SARIMA,0.05081240781764043,1,37.39926345542254,11.102752772614886
MT_149,DeepAR,0.05100182983997444,1,23.44740256516213,2.0784779036207732
MT_182,SARIMA,0.052123537064507786,1,53.073177543051614,15.083163828404041
MT_107,SARIMA,0.05683981115368701,1,18.993564530901743,7.443324818786315
